city,company,conditions,description,employment_mode,experience,max_salary,min_salary,name,publish_date,requirements,responsibilities,schedule,skills,url
Иваново,Corsearch,График работы Пн-Пт; 8:00-17:00; Оклад на первые два месяца 26.000; после 30.000; Возможность повышение оклада на занимаемой позиции рассматривается при стаже более 1-3 лет; Знания интеллектуальной собственности (IP) и опыт с сфере не требуются. Мы предоставляем обучение; Комфортный офис с отличной транспортной доступностью (ул. Лежневская или ул. Степанова); Стабильная выплата заработной платы; Бонусы и поощрения; Дружная атмосфера в коллективе; Чай; кофе; печеньки.,Corsearch является ведущим поставщиком онлайн-услуг по защите торговых знаков и борьбе с распространением поддельной продукции для самых узнаваемых мировых брендов. Запатентованная технология Corsearch сканирует различные онлайн-ресурсы  выявляя факты злоупотребления и неправомерного использования интеллектуальной собственности своих клиентов  в конечном итоге отстаивая их права по всему миру. В связи с ростом компании  мы вновь публикуем вакансию на должность аналитика. Обязанности:  Анализ информации с интернет-ресурсов; Работа над заполнением веб-форм и отправлением электронных писем; Соблюдение внутренних норм и правил компании.  Требования:  Уверенный устный и письменный английский; Законченное высшее образование; Внимание к деталям; Умение работать в команде; Ответственное отношение к обязанностям.  Условия:  График работы Пн-Пт  8:00-17:00; Оклад на первые два месяца 26.000  после 30.000; Возможность повышение оклада на занимаемой позиции рассматривается при стаже более 1-3 лет; Знания интеллектуальной собственности (IP) и опыт с сфере не требуются. Мы предоставляем обучение; Комфортный офис с отличной транспортной доступностью (ул. Лежневская или ул. Степанова); Стабильная выплата заработной платы; Бонусы и поощрения; Дружная атмосфера в коллективе; Чай  кофе  печеньки.    Будет плюсом  если у кандидата есть возможность перейти на удаленную работу в случае возникновения такой необходимости. На данный момент большая часть коллектива работает в удаленном формате. Новые сотрудники проходят обучение в офисе. Данная вакансия публикуется исключительно на hh.ru. Идентичные вакансии опубликованные на других ресурсах не имеют к нам никакого отношения.,Полная занятость,не требуется,40000,26000,Специалист со знанием английского языка,16 ноября 2020,Уверенный устный и письменный английский; Законченное высшее образование; Внимание к деталям; Умение работать в команде; Ответственное отношение к обязанностям.,Анализ информации с интернет-ресурсов; Работа над заполнением веб-форм и отправлением электронных писем; Соблюдение внутренних норм и правил компании.,полный день,Английский — B2 — Средне-продвинутый;Английский язык;Поиск информации в интернет;Аналитическое мышление;Анализ данных;Работа в команде,https://hh.ru/vacancy/39143457
Иваново,Синэт,,Для работы в небольшом офисе IT-компании мы ищем Системного администратора. Команда около 15 человек разрабатывает IT-проекты. Обязанности: - обеспечение бесперебойной работы офиса - установка и настройка программного обеспечения - обслуживание оргтехники - администрирование серверов на базе Linux - настройка сетевого оборудования   Требования: - Высшее образование - Опыт работы по данной специальности не менее 2-х лет - Опыт работы с Nginx  VM  GitLab  Docker - Уверенное знание аппаратной части ПК  СКС/ЛВС - Опыт монтажных работ по слаботочным сетям - Желательно знание Active Directory  навыки программирования   Условия: График работы 5/2 Оформление по ТК РФ Испытательный срок - 3 месяца Оплачиваемый отпуск 28 календарных дней Дружный коллектив ЗП по итогам собеседования,Полная занятость,1–3 года,,35000,Системный администратор,17 ноября 2020,,,полный день,Администрирование сетевого оборудования;Администрирование серверов Windows;Active Directory;Linux;Nginx;VMware,https://hh.ru/vacancy/40470549
Иваново,АО  Компания ТрансТелеКом,,"Компания АО Компания ""ТрансТелеКом"" входит в пятерку ведущих российских операторов связи. Мы эксплуатируем и обслуживаем одну из крупнейших в России волоконно-оптических линий связи протяженностью более 76 000 км и пропускной способностью более 3 4 Тбит/с  являемся одним из крупнейших в стране провайдеров фиксированной связи для клиентов корпоративного  государственного и массового сегментов. В компании работает более 5 5 тысяч сотрудников по всей России от Калининграда до Южно-Сахалинска. Приглашаем присоединиться к команде Макрорегиона ""Север"". Ваши функции:  Информационно-справочное обслуживание (очное) действующих клиентов (консультирование) по услугам компании Работа с информационными базами (CRM)  Наши требования к кандидатам:  Опыт работы в сфере продаж и обслуживания от 1 года; Приветливость  грамотная речь  ответственность  стрессоустойчивость  Мы предлагаем:  График работы 5/2 (суббота рабочая) Полный соц. пакет ",Полная занятость,1–3 года,26000,,Менеджер по работе с клиентами,9 ноября 2020,,,полный день,,https://hh.ru/vacancy/40157911
Иваново,ITSM37,,В связи с расширением IT-аутсорсинговой компании требуется системный администратор с опытом работы. Только на полный рабочий день без совмещения. Обязанности:  Установка  настройка рабочих станций и серверов; Подключение и настройка офисной оргтехники; Диагностика  узловой ремонт и профилактическое обслуживание компьютеров Диагностика оргтехники; Монтаж и обслуживание ЛВС и систем видеонаблюдения; Удаленная техническая поддержка пользователей; Сопровождение антивирусной защиты; Изучение и освоение информационных систем  входящих в зону ответственности.  Требования:   Знание принципов работы компьютерных сетей (TCP/IP  DHCP  DNS  Active directory)  Знание и навыки администрирования операционных систем Windows; Знание принципов работы и настройка сетевого оборудования: маршрутизаторов  коммутаторов  точек доступа. Навыки диагностики и мелкого ремонта ПК и оргтехники; Навыки установки  конфигурирования периферийных устройств (принтеры  сканеры и т.п.). Желателен опыт работы с IP телефонией; Знание Linux приветствуется; Владение английским языком на уровне понимания технических текстов; Навыки деловой переписки  грамотная письменная и устная речь; Стрессоустойчивость  вежливость  порядочность  ответственность и пунктуальность;  Условия:  Официальное трудоустройство; Корпоративная мобильная связь; График работы 5/2; Работа предполагает  как удалённую техническую поддержку  так и выезды на территорию заказчика  включая объекты по области; Компенсация транспортных расходов; Размер оплаты труда по итогам собеседования. ,Полная занятость,3–6 лет,,30000,Системный администратор/Инженер,27 октября 2020,,Установка; настройка рабочих станций и серверов; Подключение и настройка офисной оргтехники; Диагностика; узловой ремонт и профилактическое обслуживание компьютеров Диагностика оргтехники; Монтаж и обслуживание ЛВС и систем видеонаблюдения; Удаленная техническая поддержка пользователей; Сопровождение антивирусной защиты; Изучение и освоение информационных систем; входящих в зону ответственности.,полный день,Администрирование сетевого оборудования;Настройка ПО;Настройка ПК;Информационные технологии;LAN;Linux;VoIP;Администрирование серверов;Системы видеонаблюдения,https://hh.ru/vacancy/40060875
Иваново,ООО  ИНТЕР,,Обязанности: -администрирование и поддержка IT инфраструктуры компании; -обслуживание серверов  сетевого оборудования  систем видеонаблюдения  телефонии;-техническая поддержка конечных пользователей; -диагностика неисправностей компьютерного  сетевого и периферийного оборудования  настройка и ввод в эксплуатацию нового оборудования; Требования: Знание:- Windows Server 2003 на уровне администратора;- компьютерного железа;- кассовой техники (фискальные регистраторы  считыватели магнитных карт  считыватели штрих-кодов) на базовом уровне;- офисный пакет Microsoft Office на базовом уровне;- АТС Panasonic KX-TDA100 на базовом уровне;- 1С на базовом уровне;- банковский POS-терминал на базовом уровне; Условия: - трудоустройство по ТК РФ - график 4*3,Полная занятость,1–3 года,,30000,Системный администратор,19 ноября 2020,,,сменный график,Windows Server 2003;Windows Server;Moxa;1С;Настройка ПК;Офисная техника;Техническая поддержка;Администрирование серверов;Администрирование;Администрирование сетевого оборудования,https://hh.ru/vacancy/40529850
Иваново,АО  Компания Еламед,,"Обязанности:  Управление и администрирование пулом серверов (терминальный доступ  виртуализация); Управление криптошлюзами и контурами информационной безопасности; Управление системами видеонаблюдения и СКУД  системой технологического мониторинга и автоматического оповещения  коммутационным оборудованием; Администрирование внутренней сети передачи данных; Управление облачными сервисами и доступа к ним; Обеспечение информационной безопасности; Резервное копирование информации; Резервирование электроснабжения важных систем ИТ (ИБП); Обеспечение сервиса VPN; Закупка оргтехники и расходных материалов по направлению деятельности; Отчетность;  Требования:  Высшее техническое образование; Опыт работы Администратором вычислительной сети от 3-х лет; Опыт работы с оборудованием Cisco  MicroTik  D-Link  криптошлюзами  терминальными фермами;  Условия:  Оформление по ТК РФ; Работа в компании-производителе медицинского оборудования; ""Белая"" заработная плата два раза в месяц; Место работы - Рязанская область  п.Елатьма (предоставляется служебная благоустроенная квартира); ",Полная занятость,3–6 лет,,,Администратор вычислительной сети,20 ноября 2020,,,полный день,Системы видеонаблюдения;Информационная безопасность,https://hh.ru/vacancy/40545226
Иваново,АО  Компания ТрансТелеКом,,В чем заключается работа: - консультирование действующих абонентов по запросам (не продажи  без холодных звонков) - занесение информации в CRM систему (всему научим!) Вы нам подходите  если: - имеете навыки работы на ПК (работа с простыми офисными программами) - обладаете грамотной речью - умеете и любите общаться с людьми Что мы предоставляем: - оформление по ТК РФ (все официально  с 1-го дня!); - оплачиваемое обучение со стороны работодателя по графику 5/2 с 9:00 до 18:00; - достойная «белая» заработная плата (оклад+премия  2 раза в месяц); - корпоративное обучение работе от ведущих специалистов компании; - удобный график работы (2х2  с 8:00 до 20:00); - комфортный офис в центре города (благоустроенная кухня  удобные гарнитура и кресла  собственная стоянка); Дополнительные бонусы: + расширенный полис ДМС (стоматология  массаж  томография  онкомаркеры  лучшие платные клиники и специалисты города за счет Компании); + корпоративные тарифы на услуги Компании; + новогодние и другие подарки (в том числе детям); + материальная помощь от 15 000 р.; + возможность карьерного роста за 1 год; + тематические праздники / корпоративы + лояльное руководство; + дружный коллектив разного возраста   Звоните  записывайтесь на собеседование и станьте частью нашего коллектива! Будем рады ответить на все Ваши вопросы!,Полная занятость,не требуется,,24400,Специалист по работе с клиентами (не продажи),18 ноября 2020,,,сменный график,CRM;Коммуникабельность;Пользователь ПК;Активные продажи;Грамотная речь;Стрессоустойчивость;Ориентация на результат,https://hh.ru/vacancy/38233991
Иваново,ОГБУ МФЦ,,ОГБУ МФЦ требуется ИТ специалист  в команду из 5 человек  хороший коллектив  официальная заработная плата  периодическое премирование  возможность карьерного роста Требования\Обязанности - опыт работы в ИТ направлении от 2 лет - опыт администрирования Windows Server 2008/2012/AD/VMware - Понимание сетевой топологии  опыт монтажа ЛВС  настройка активного сетевого оборудования - Диагностика и блочный ремонт ПК - Автоматизация процессов - Обеспечение планового резервного копирования данных организации - Закупка комплектующих и оргтехники  контроль по своевременному обслуживанию оргтехники - Решение технических проблем работников организации - Ведение отчетной документации - Будет плюсом опыт работы со шлюзами безопасности VIP-NET  администрирование Unix подобных систем  написание Технических Заданий - Обучаемость  желание развиваться,Полная занятость,1–3 года,30000,25000,ИТ специалист/системный администратор,13 ноября 2020,,,полный день,Администрирование сетевого оборудования;Настройка ПО;Администрирование серверов Windows;Active Directory;Ремонт ПК;Техническая поддержка,https://hh.ru/vacancy/40400230
Иваново,devtodev,Официальное трудоустройство: стабильная белая зарплата; отпуск; больничный. У нас действует гибкая система оплаты труда (оклад + бонусы). К тому же нам всегда приятно дополнительно поощрить самых инициативных сотрудников; Варианты графика работы на выбор: дневной график 2/2 с 9:00 до 21:00; ночной график 2/2 с 21:00 до 09:00 (по МСК). Возможность работать удаленно; либо в одном из наших офисов (г. Пермь; г. Иваново). Наши офисы находятся в центре города и оснащены всем необходимым для комфортной работы!,Мы работаем в международной компании и оказываем услуги по поддержке мобильных и веб-приложений. Одна из основных наших специализаций - это игры. Игры неизменно привлекают игроков своим жанровым разнообразием  захватывающей сюжетной линией  а также интересным геймплеем  и тут нашим игрокам иногда не обойтись без советов и подсказок  чтобы наслаждаться игрой в полной мере. С этой целью и была создана наша команда. Обязанности:  Письменно консультировать пользователей и помогать им разобраться во всех тонкостях игровых и не только приложений; Хорошо знать приложения  которые тебе предстоит поддерживать  разбираться в мельчайших нюансах. Не волнуйся  мы всему обучим!)  Требования:  Свободное владение одним из иностранных языков: английский / китайский / португальский / испанский; Отличное знание русского языка; Грамотная письменная речь; Хорошие знания ПК и мобильных устройств (MS Office  мессенджеры  Google сервисы и т.д.); Внимательность к деталям  усидчивость; Желание развиваться  учиться новому и разделять ценности компании.  Условия: Наша главная ценность - это сотрудники  поэтому мы вкладываем много сил в обучение и развитие. Сотрудники компании могут проходить бесплатные образовательные курсы devtodev и участвовать в нашей программе тренингов профессионального роста для специалистов. Рост каждого сотрудника - это победа всей команды!  Официальное трудоустройство: стабильная белая зарплата  отпуск  больничный. У нас действует гибкая система оплаты труда (оклад + бонусы). К тому же нам всегда приятно дополнительно поощрить самых инициативных сотрудников; Варианты графика работы на выбор: дневной график 2/2 с 9:00 до 21:00  ночной график 2/2 с 21:00 до 09:00 (по МСК). Возможность работать удаленно  либо в одном из наших офисов (г. Пермь  г. Иваново). Наши офисы находятся в центре города и оснащены всем необходимым для комфортной работы!  Мы ждем твое резюме и с радостью приглашаем познакомиться с нашей компанией!,Полная занятость,не требуется,,,Customer Support Specialist (English/Chinese/Spanish/Portuguese),17 ноября 2020,,Письменно консультировать пользователей и помогать им разобраться во всех тонкостях игровых и не только приложений; Хорошо знать приложения; которые тебе предстоит поддерживать; разбираться в мельчайших нюансах. Не волнуйся; мы всему обучим!),полный день,Английский язык;Испанский язык;Грамотность;Пользователь ПК;китайский язык;португальский язык,https://hh.ru/vacancy/40464655
Иваново,РегионПерсонал,,Оператор ПК (подработка с 20 до 24) Должностные обязанности: Ввод данных в базу проверка и обработка данных проверка документов в электронном виде Требования: Опытный пользователь ПК Условия: График работы20-24  + оплата такси 2000 рублей Имеются также смены:Ночная смена 2/2 - 20:00 до 08:00Дневная смена 5/2 - 10-19  11-20 чай  кофе машина  фрукты - за счет работодателя место работы: район остановки Госпиталь,Проектная работа/разовое задание,не требуется,21000,18000,Оператор ПК (подработка на вечер),18 ноября 2020,,,сменный график,,https://hh.ru/vacancy/40507739
