Класс;Входящие слова
Дизайн; 'дизайнер', 'дизайн', '3d', 'ux', 'ui', '2d'
Менеджер;'менеджер', 'маркетолог', 'специалист',  'консультант', 'эксперт', 'аналитик', 'писатель'
Веб;'web', 'веб', 'frontend', 'backend','fullstack', 'фулстак', 'full stack'
Разработка;'team lead', 'программист', 'разработчик', 'developer'
Инженер;'инженер
QA;'тестировщик', 'qa'
Сети;'сетевой', 'системный', 'администратор'
Монтаж;'монтажник', 'электромеханик', 'слесарь', 'электрик', 'техник', 'мастер'
Руководство;'руководитель', 'начальник', 'управляющий'
Преподавание;'преподаватель', 'teacher', 'педагог', 'учитель'
Начало карьеры;'ассистент', 'стажер', 'младший', 'junior', 'стажёр', 'помощник'
Звонки;'расклейщик', 'call', 'саll'
Другое;
