name,Класс,class_key,Предполагаемый
3D-моделлер / Визуализатор,Дизайн,2,1
UX/UI дизайнер (дизайнер интерфейсов),Дизайн,2,6
Lead 3D Artist/3D Modeller,Дизайн,2,10
Ведущий UX/UI дизайнер,Дизайн,2,10
Старший дизайнер по продукту (удаленно),Дизайн,2,6
Lead 2d Artist (Hyper Casual),Дизайн,2,10
2D Animator,Дизайн,2,5
Продуктовый дизайнер,Дизайн,2,10
Дизайнер,Дизайн,2,6
UX/UI дизайнер уровня middle,Дизайн,2,10
UX/UI дизайнер,Дизайн,2,10
Digital дизайнер,Дизайн,2,10
Графический дизайнер для digital-проектов,Дизайн,2,10
3D-моделлер,Дизайн,2,10
Контент-менеджер,Менеджер,6,6
Бизнес-аналитик,Менеджер,6,10
Менеджер по работе с маркетплейсом Wildberries (удаленно),Менеджер,6,6
Специалист по анализу рынка,Менеджер,6,6
Аккаунт менеджер,Менеджер,6,6
"Технический специалист IT, программист (SQL)",Менеджер,6,6
Менеджер по продажам в онлайн-школу,Менеджер,6,6
Офис-менеджер,Менеджер,6,6
Менеджер по оформлению (розничная торговля),Менеджер,6,6
Менеджер digital-проектов,Менеджер,6,6
Менеджер проектов (Project manager),Менеджер,6,6
Менеджер по продажам ПО для систем автономного управления сельскохозяйственной техникой,Менеджер,6,6
Региональный специалист по информационным системам в международную компанию,Менеджер,6,6
Специалист ИТ,Менеджер,6,6
Бизнес - аналитик,Менеджер,6,6
Менеджер проектов (Project Manager) по продвижению и внедрению BIM-решений (Екатеринбург),Менеджер,6,6
Консультант 1С,Менеджер,6,6
Аккаунт-менеджер веб-мастеров/affiliate manager,Менеджер,6,6
Менеджер по развитию корпоративного бизнеса,Менеджер,6,6
Специалист в службу поддержки поисковых сервисов,Менеджер,6,6
"Региональный менеджер по работе с клиентами в категории ""Авто""",Менеджер,6,6
Менеджер по продаже лидогенерации,Менеджер,6,11
Бизнес-аналитик с функцией product-owner,Менеджер,6,6
Менеджер по работе с ключевыми клиентами,Менеджер,6,6
Специалист в службу поддержки персональных сервисов,Менеджер,6,6
Аналитик,Менеджер,6,6
Менеджер по продажам (удаленная работа),Менеджер,6,6
Консультант SAP,Менеджер,6,6
Менеджер по продажам B2B на входящий поток (удаленно),Менеджер,6,6
Консультант-аналитик 1С,Менеджер,6,10
Специалист по контекстной рекламе,Менеджер,6,6
Методолог-консультант 1С,Менеджер,6,12
Специалист по ручному тестированию (Middle),Менеджер,6,6
Консультант SAP FI/CO,Менеджер,6,6
Специалист отдела технической поддержки,Менеджер,6,6
Эксперт по эксплуатации сетей,Менеджер,6,6
Менеджер по продажам (онлайн продуктов),Менеджер,6,6
Специалист по созданию веб-ботов,Менеджер,6,11
Менеджер по развитию бизнеса Oracle,Менеджер,6,6
Аналитик статистики КЦ,Менеджер,6,6
IT Бизнес-аналитик,Менеджер,6,5
Менеджер по продажам,Менеджер,6,6
Менеджер по продажам,Менеджер,6,6
Специалист по нагрузочному тестированию,Менеджер,6,6
Специалист службы поддержки пользователей,Менеджер,6,6
Ведущий менеджер по работе с клиентами,Менеджер,6,6
Менеджер по работе с клиентами и партнерами на территории УФО (г. Екатеринбург),Менеджер,6,6
Специалист по установке и ремонту КБТ,Менеджер,6,6
Специалист по методологии и регламентации,Менеджер,6,6
Специалист технической поддержки,Менеджер,6,6
1С Эксперт,Менеджер,6,1
Специалист технической поддержки группы CRM,Менеджер,6,6
Специалист сервисного центра,Менеджер,6,6
Ведущий специалист Центра внедрения и сопровождения,Менеджер,6,6
Менеджер по продукту,Менеджер,6,6
IT специалист (CRM интегратор),Менеджер,6,6
Категорийный менеджер (сотовая связь),Менеджер,6,6
Специалист поддержки срочных обращений,Менеджер,6,6
Аналитик (телеком направление),Менеджер,6,6
Менеджер по работе с клиентами,Менеджер,6,6
Менеджер по продажам,Менеджер,6,6
Специалист в службу поддержки геосервисов,Менеджер,6,6
Специалист внедрения 1С в подразделение Middle East,Менеджер,6,11
"Аккаунт менеджер (Software, b2b) удалённо",Менеджер,6,6
Менеджер по продажам услуг по привлечению клиентов,Менеджер,6,6
Менеджер по IT,Менеджер,6,10
Аналитик 1С,Менеджер,6,10
Специалист по сопровождению 1С,Менеджер,6,12
"Специалист С#, Asp.Net Core",Менеджер,6,10
Менеджер по продажам интернет-рекламы сайта недвижимости Циан / cian,Менеджер,6,6
Ведущий специалист (направление бизнес-аналитика и BI),Менеджер,6,6
Аналитик в направление «Голосовые технологии»,Менеджер,6,6
Старший специалист поддержки,Менеджер,6,6
Аналитик релизной команды,Менеджер,6,6
Консультант 1С [id64345],Менеджер,6,6
Консультант 1С: ERP,Менеджер,6,6
Специалист по нагрузочному тестированию,Менеджер,6,6
Региональный менеджер по продажам бутилированной воды,Менеджер,6,6
Трафик-менеджер (Крым),Менеджер,6,6
Менеджер проекта CRM,Менеджер,6,6
Специалист по информационной безопасности,Менеджер,6,6
Специалист отдела технической поддержки,Менеджер,6,6
Менеджер по продажам ИТ-продукта в корпоративный сегмент,Менеджер,6,12
Ведущий консультант Microsoft Dynamics 365 Sales,Менеджер,6,6
IT Recruiter \ Менеджер по подбору персонала,Менеджер,6,5
"Специалист / ведущий специалист SAP HR (PA, OM, PT) [33202]",Менеджер,6,6
Специалист по речевой аналитике КЦ,Менеджер,6,6
Специалист технической поддержки 1-ой линии,Менеджер,6,6
Ведущий специалист (направление RPA и бизнес-процессы),Менеджер,6,6
SEO-специалист,Менеджер,6,6
Региональный менеджер по CRM / CRM Manager (salesforce.com),Менеджер,6,12
Аналитик 1С:ЗУП [id59043],Менеджер,6,10
